cell_type,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Cycling T,NUSAP1,28.520193,8.573172,6.582255688405902e-179,2.5063035576220205e-175,0.7476635514018691,0.12050849656245946
Cycling T,BIRC5,28.440676,9.540388,6.355176019526096e-178,2.2336977129552798e-174,0.6853582554517134,0.03165131664288494
Cycling T,HMGB1P5,28.421246,4.878412,1.104954189678538e-177,3.6062547739136965e-174,0.9299065420560748,0.6282916072123492
Cycling T,RRM2,28.202555,10.4207115,5.44071565562798e-175,1.657314531579691e-171,0.6884735202492211,0.0402775976131794
Cycling T,HMGB1,27.929527,4.397209,1.1688846335475368e-171,3.338042292253378e-168,0.9641744548286605,0.7877156570242574
Cycling T,PFN1,27.75087,2.431928,1.70084410946425e-169,4.571468767625912e-166,0.9984423676012462,0.9569334544039434
Cycling T,CKS1B,27.272501,8.276312,8.99147661453519e-164,2.2824363859518995e-160,0.705607476635514,0.10111557919315087
Cycling T,RP5-940J5.9,27.261976,3.1023047,1.1985117725169927e-163,2.8822315742024435e-160,0.9890965732087228,0.9131534569983136
Cycling T,HMGN2P5,27.197268,5.394488,6.99673211405024e-163,1.5984734187759177e-159,0.8193146417445483,0.37099494097807756
Cycling T,CCNA2,27.050144,8.457485,3.8046340935113354e-161,8.278159095272379e-158,0.6728971962616822,0.06901024776235569
Cycling T,ACTB,26.959984,1.8462532,4.356852863706302e-160,9.048787320384926e-157,1.0,0.9970813335062914
Cycling T,GAPDH,26.894215,3.0103967,2.566539741275303e-159,5.098710167754397e-156,0.9906542056074766,0.9315086262809703
Cycling T,RP11-673C5.1,26.700884,4.390967,4.596895851663953e-157,8.751723552259555e-154,0.8878504672897196,0.4839797639123103
Cycling T,TYMS,26.66233,8.942224,1.287754673479051e-156,2.353603461624192e-153,0.6713395638629284,0.06615644052406279
Cycling T,CDK1,26.572235,9.296744,1.4215946836366349e-155,2.498288626335582e-152,0.6542056074766355,0.044882604747697494
Cycling T,KIAA0101,26.449455,8.966158,3.701747328831372e-154,6.26445329440604e-151,0.6682242990654206,0.07685821766766117
Cycling T,TPX2,26.25437,8.30163,6.371958721053281e-152,1.039812635294166e-148,0.6464174454828661,0.04358541963938254
Cycling T,CENPF,26.130278,7.4868965,1.6515379692909157e-150,2.6021404445807073e-147,0.6557632398753894,0.05772473732001557
Cycling T,TMPO,26.016668,6.7341495,3.2080343758142704e-149,4.8860502233235215e-146,0.8177570093457944,0.27117654689324167
Macrophage/Mono,IFI30,58.782845,15.505796,0.0,0.0,0.9658119658119658,0.15577237991266377
Macrophage/Mono,LYZ,58.236843,17.852655,0.0,0.0,0.9430199430199431,0.025791484716157206
Macrophage/Mono,TYROBP,57.497837,15.80874,0.0,0.0,0.9494301994301995,0.06379639737991266
Macrophage/Mono,CST3,57.41839,15.475716,0.0,0.0,0.9444444444444444,0.0412117903930131
Macrophage/Mono,RP11-1143G9.4,57.37949,18.021156,0.0,0.0,0.9294871794871795,0.023335152838427946
Macrophage/Mono,FCER1G,57.253704,16.068363,0.0,0.0,0.9430199430199431,0.05499454148471616
Macrophage/Mono,AIF1,56.38765,13.889441,0.0,0.0,0.9259259259259259,0.0427811135371179
Macrophage/Mono,FTL,56.284523,6.2067413,0.0,0.0,0.9964387464387464,0.9040665938864629
Macrophage/Mono,PSAP,55.652763,9.402274,0.0,0.0,0.9757834757834758,0.5313864628820961
Macrophage/Mono,GRN,54.849953,12.505792,0.0,0.0,0.9458689458689459,0.17446779475982532
Macrophage/Mono,SERPINA1,54.754997,16.751371,0.0,0.0,0.8853276353276354,0.012076965065502184
Macrophage/Mono,CD68,54.480244,13.22979,0.0,0.0,0.9002849002849003,0.052333515283842794
Macrophage/Mono,FTH1,53.727165,5.1233015,0.0,0.0,0.9971509971509972,0.9325873362445415
Macrophage/Mono,S100A11,53.571426,9.760097,0.0,0.0,0.9779202279202279,0.4279475982532751
